article,year_week,price,target
Безалкогольные напитки #2,202106,73.6,2.0
Безалкогольные напитки #2,202014,73.6,9.0
Безалкогольные напитки #2,201848,73.6,0.0
Безалкогольные напитки #2,202043,73.6,0.0
Безалкогольные напитки #2,202003,73.6,0.0
Безалкогольные напитки #2,201850,73.6,0.0
Безалкогольные напитки #2,201949,61.9,0.0
Безалкогольные напитки #2,202048,73.6,0.0
Безалкогольные напитки #2,202029,73.6,9.0
Безалкогольные напитки #2,202010,73.6,13.0
Безалкогольные напитки #2,202044,62.9,0.0
Безалкогольные напитки #2,202004,73.6,0.0
Безалкогольные напитки #2,202034,73.6,2.0
Безалкогольные напитки #2,202039,73.6,
Безалкогольные напитки #2,202020,57.4,33.0
Безалкогольные напитки #2,202005,64.2,0.0
Безалкогольные напитки #2,202027,73.6,9.0
Безалкогольные напитки #2,202103,73.6,0.0
Безалкогольные напитки #2,201906,73.6,1.0
Безалкогольные напитки #2,201929,73.6,7.0
Безалкогольные напитки #2,202018,73.6,0.0
Безалкогольные напитки #2,201853,59.0,0.0
Безалкогольные напитки #2,201910,58.5,
Безалкогольные напитки #2,202019,73.6,24.0
Безалкогольные напитки #2,201944,73.6,0.0
Безалкогольные напитки #2,202109,73.6,10.0
Безалкогольные напитки #2,201846,73.6,0.0
Безалкогольные напитки #2,202035,65.3,4.0
Безалкогольные напитки #2,201947,73.6,0.0
Безалкогольные напитки #2,202033,73.6,4.0
Безалкогольные напитки #2,201924,73.6,9.0
Безалкогольные напитки #2,201921,73.6,12.0
Безалкогольные напитки #2,202030,73.6,10.0
Безалкогольные напитки #3,202050,18.2,0.0
Безалкогольные напитки #3,201945,18.2,0.0
Безалкогольные напитки #3,202032,18.2,9.0
Безалкогольные напитки #3,202044,18.2,0.0
Безалкогольные напитки #3,201852,18.2,0.0
Безалкогольные напитки #3,201925,18.2,28.0
Безалкогольные напитки #3,201946,18.2,0.0
Безалкогольные напитки #3,202102,18.2,
Безалкогольные напитки #3,202035,18.2,4.0
Безалкогольные напитки #3,201923,18.2,31.0
Безалкогольные напитки #3,202011,18.2,13.0
Безалкогольные напитки #3,202045,18.2,0.0
Безалкогольные напитки #3,202101,18.2,0.0
Безалкогольные напитки #3,202008,18.2,17.0
Безалкогольные напитки #3,202042,18.2,0.0
Безалкогольные напитки #3,201915,18.2,23.0
Безалкогольные напитки #3,201924,18.2,24.0
Безалкогольные напитки #3,202004,18.2,0.0
Безалкогольные напитки #3,202049,18.2,0.0
Безалкогольные напитки #3,202016,18.2,27.0
Безалкогольные напитки #3,202048,15.0,0.0
Безалкогольные напитки #3,202026,18.2,31.0
Безалкогольные напитки #3,201849,18.2,0.0
Безалкогольные напитки #3,201927,18.2,26.0
Безалкогольные напитки #3,201940,18.2,0.0
Безалкогольные напитки #3,201937,18.2,0.0
Безалкогольные напитки #3,202031,18.2,16.0
Безалкогольные напитки #3,201845,18.2,0.0
Безалкогольные напитки #3,202033,18.2,10.0
Безалкогольные напитки #3,201905,18.2,0.0
Безалкогольные напитки #3,201919,18.2,66.0
Безалкогольные напитки #3,201941,18.2,0.0
Безалкогольные напитки #3,202051,18.2,0.0
Безалкогольные напитки #3,201903,18.2,0.0
Безалкогольные напитки #3,201953,18.2,0.0
Безалкогольные напитки #3,202019,18.2,53.0
Безалкогольные напитки #3,202013,18.2,25.0
Безалкогольные напитки #3,202052,18.2,0.0
Безалкогольные напитки #3,201916,18.2,24.0
Безалкогольные напитки #3,201918,18.2,40.0
Безалкогольные напитки #3,202017,18.2,34.0
Безалкогольные напитки #3,202104,18.2,0.0
Безалкогольные напитки #3,202108,18.2,0.0
Безалкогольные напитки #3,201936,13.1,0.0
Безалкогольные напитки #3,202014,14.6,54.0
Безалкогольные напитки #3,201847,18.2,0.0
Безалкогольные напитки #3,201917,18.2,34.0
Безалкогольные напитки #3,202103,18.2,0.0
Безалкогольные напитки #3,202009,18.2,12.0
Безалкогольные напитки #3,202037,18.2,0.0
Безалкогольные напитки #3,201906,18.2,2.0
Безалкогольные напитки #3,202046,18.2,0.0
Безалкогольные напитки #3,201904,18.2,0.0
Безалкогольные напитки #3,201920,18.2,27.0
Безалкогольные напитки #3,201934,18.2,7.0
Безалкогольные напитки #3,202111,14.9,110.0
Безалкогольные напитки #3,201909,12.8,56.0
Безалкогольные напитки #3,201851,18.2,-1.0
Безалкогольные напитки #3,201911,18.2,15.0
Безалкогольные напитки #3,201848,18.2,0.0
Безалкогольные напитки #3,202030,18.2,21.0
Безалкогольные напитки #3,201949,13.1,0.0
Безалкогольные напитки #3,202015,15.0,48.0
Безалкогольные напитки #3,202007,18.2,10.0
Безалкогольные напитки #3,202053,13.1,0.0
Безалкогольные напитки #3,201922,13.8,118.0
Безалкогольные напитки #3,202109,15.9,38.0
Безалкогольные напитки #3,201921,18.2,33.0
Безалкогольные напитки #3,201910,14.6,106.0
Безалкогольные напитки #3,201931,18.2,16.0
Безалкогольные напитки #3,202047,18.2,0.0
Безалкогольные напитки #3,201907,18.2,11.0
Безалкогольные напитки #3,202003,18.2,0.0
Безалкогольные напитки #3,202040,18.2,0.0
Безалкогольные напитки #3,201929,12.8,71.0
Безалкогольные напитки #3,201850,18.2,0.0
Безалкогольные напитки #3,201846,18.2,0.0
Безалкогольные напитки #3,201930,18.2,18.0
Безалкогольные напитки #3,202001,16.2,0.0
Безалкогольные напитки #3,201908,12.9,63.0
Безалкогольные напитки #3,201914,14.9,67.0
Безалкогольные напитки #3,201950,13.1,0.0
Безалкогольные напитки #3,202041,18.2,
Безалкогольные напитки #3,201926,18.2,33.0
Безалкогольные напитки #3,202027,18.2,21.0
Безалкогольные напитки #3,201947,18.2,0.0
Безалкогольные напитки #3,201853,18.2,0.0
Безалкогольные напитки #3,201902,18.2,0.0
Безалкогольные напитки #3,202028,18.2,20.0
Безалкогольные напитки #3,202105,18.2,1.0
Безалкогольные напитки #3,202106,18.2,3.0
Безалкогольные напитки #3,202006,18.2,3.0
Безалкогольные напитки #3,201943,18.2,0.0
Безалкогольные напитки #3,201952,13.5,0.0
Безалкогольные напитки #3,202036,13.2,2.0
Безалкогольные напитки #3,202025,13.0,119.0
Безалкогольные напитки #3,202005,18.2,0.0
Безалкогольные напитки #3,202012,15.7,40.0
Безалкогольные напитки #3,202010,13.4,113.0
Безалкогольные напитки #3,202112,18.2,24.0
Безалкогольные напитки #3,202038,18.2,0.0
Безалкогольные напитки #3,202034,16.2,12.0
Безалкогольные напитки #3,202107,16.4,12.0
Безалкогольные напитки #3,201935,13.8,16.0
Безалкогольные напитки #3,201939,18.2,0.0
Безалкогольные напитки #3,201928,18.2,19.0
Безалкогольные напитки #4,201851,91.0,0.0
Безалкогольные напитки #4,201903,81.2,0.0
Безалкогольные напитки #4,202017,91.0,27.0
Безалкогольные напитки #4,201924,91.0,19.0
Безалкогольные напитки #4,202043,91.0,0.0
Безалкогольные напитки #4,201902,70.7,0.0
Безалкогольные напитки #4,201849,77.2,0.0
Безалкогольные напитки #4,201848,71.0,0.0
Безалкогольные напитки #4,202034,65.7,21.0
Безалкогольные напитки #4,202032,74.9,18.0
Безалкогольные напитки #4,202025,91.0,0.0
Безалкогольные напитки #4,201916,91.0,20.0
Безалкогольные напитки #4,201911,91.0,12.0
Безалкогольные напитки #4,202109,91.0,18.0
Безалкогольные напитки #4,201919,69.7,155.0
Безалкогольные напитки #4,202042,91.0,0.0
Безалкогольные напитки #4,201944,91.0,0.0
Безалкогольные напитки #4,202026,64.1,99.0
Безалкогольные напитки #4,202009,91.0,11.0
Безалкогольные напитки #4,202010,91.0,26.0
Безалкогольные напитки #4,201945,91.0,0.0
Безалкогольные напитки #4,202016,91.0,23.0
Безалкогольные напитки #4,202111,91.0,43.0
Безалкогольные напитки #4,202014,91.0,20.0
Безалкогольные напитки #4,201946,91.0,0.0
Безалкогольные напитки #4,201935,66.3,17.0
Безалкогольные напитки #4,201909,91.0,0.0
Безалкогольные напитки #4,202048,76.5,0.0
Безалкогольные напитки #4,201938,91.0,0.0
Безалкогольные напитки #4,201845,91.0,0.0
Безалкогольные напитки #4,202019,91.0,45.0
Безалкогольные напитки #4,202110,91.0,
Безалкогольные напитки #4,201920,79.0,39.0
Безалкогольные напитки #4,202024,91.0,22.0
Безалкогольные напитки #4,202021,91.0,28.0
Безалкогольные напитки #4,201927,77.4,44.0
Безалкогольные напитки #4,201940,91.0,0.0
Безалкогольные напитки #4,202003,69.6,0.0
Безалкогольные напитки #4,202045,91.0,0.0
Безалкогольные напитки #4,202023,80.8,36.0
Безалкогольные напитки #4,202044,91.0,0.0
Безалкогольные напитки #4,202050,91.0,0.0
Безалкогольные напитки #4,202039,91.0,0.0
Безалкогольные напитки #4,201853,66.8,0.0
Безалкогольные напитки #4,202029,91.0,17.0
Безалкогольные напитки #4,202006,91.0,0.0
Безалкогольные напитки #4,202046,91.0,0.0
Безалкогольные напитки #4,202103,91.0,0.0
Безалкогольные напитки #4,202005,91.0,0.0
Безалкогольные напитки #4,201905,65.1,0.0
Безалкогольные напитки #4,202049,91.0,0.0
Безалкогольные напитки #4,201913,70.7,58.0
Безалкогольные напитки #4,202041,91.0,0.0
Безалкогольные напитки #4,202022,91.0,30.0
Безалкогольные напитки #4,202106,91.0,1.0
Безалкогольные напитки #4,202002,91.0,0.0
Безалкогольные напитки #4,201934,91.0,6.0
Безалкогольные напитки #4,201931,91.0,15.0
Безалкогольные напитки #4,202008,91.0,17.0
Безалкогольные напитки #4,201908,91.0,14.0
Безалкогольные напитки #4,201930,91.0,15.0
Безалкогольные напитки #4,201942,91.0,
Безалкогольные напитки #4,202035,91.0,5.0
Безалкогольные напитки #4,202112,91.0,20.0
Безалкогольные напитки #4,201932,91.0,8.0
Безалкогольные напитки #4,201852,91.0,0.0
Безалкогольные напитки #4,201917,91.0,25.0
Безалкогольные напитки #4,202052,91.0,0.0
Безалкогольные напитки #4,202104,91.0,0.0
Безалкогольные напитки #4,202027,65.3,66.0
Безалкогольные напитки #4,201929,75.8,31.0
Безалкогольные напитки #4,201928,91.0,14.0
Безалкогольные напитки #4,202001,73.5,0.0
Безалкогольные напитки #4,201921,91.0,27.0
Безалкогольные напитки #4,201943,91.0,0.0
Безалкогольные напитки #4,202038,91.0,0.0
Безалкогольные напитки #4,201923,91.0,27.0
Безалкогольные напитки #4,202018,70.6,72.0
Безалкогольные напитки #4,202011,91.0,11.0
Безалкогольные напитки #4,202036,91.0,2.0
Безалкогольные напитки #4,202101,91.0,0.0
Безалкогольные напитки #4,202037,91.0,0.0
Безалкогольные напитки #4,201847,91.0,0.0
Безалкогольные напитки #4,201925,91.0,21.0
Безалкогольные напитки #4,202004,91.0,0.0
Безалкогольные напитки #4,201941,91.0,0.0
Безалкогольные напитки #4,201906,78.9,4.0
Безалкогольные напитки #4,202051,91.0,0.0
Безалкогольные напитки #4,201846,91.0,0.0
Безалкогольные напитки #4,201937,91.0,-1.0
Безалкогольные напитки #4,201922,91.0,31.0
Безалкогольные напитки #4,201939,91.0,0.0
Безалкогольные напитки #4,202108,68.7,0.0
Безалкогольные напитки #4,202107,91.0,5.0
Безалкогольные напитки #4,202047,91.0,0.0
Безалкогольные напитки #4,202020,91.0,26.0
Безалкогольные напитки #4,202015,67.2,59.0
Безалкогольные напитки #4,201904,74.5,0.0
Безалкогольные напитки #4,201933,91.0,8.0
Безалкогольные напитки #4,201912,70.8,41.0
Безалкогольные напитки #4,202033,91.0,7.0
Безалкогольные напитки #4,202012,91.0,17.0
Безалкогольные напитки #4,201915,91.0,19.0
Безалкогольные напитки #4,202105,67.8,1.0
Безалкогольные напитки #4,202053,91.0,0.0
Безалкогольные напитки #4,202102,91.0,0.0
Безалкогольные напитки #4,202028,91.0,15.0
Безалкогольные напитки #4,201901,91.0,0.0
Безалкогольные напитки #4,201918,91.0,30.0
Безалкогольные напитки #4,201850,91.0,0.0
Безалкогольные напитки #4,201926,91.0,26.0
Безалкогольные напитки #4,202031,80.5,20.0
Безалкогольные напитки #4,201936,91.0,0.0
Безалкогольные напитки #4,202030,91.0,16.0
Безалкогольные напитки #5,202108,119.4,12.0
Безалкогольные напитки #5,202023,119.4,11.0
Безалкогольные напитки #5,201906,96.5,2.0
Безалкогольные напитки #5,202040,119.4,0.0
Безалкогольные напитки #5,201936,92.6,0.0
Безалкогольные напитки #5,201939,119.4,0.0
Безалкогольные напитки #5,201913,93.6,0.0
Безалкогольные напитки #5,201903,95.6,0.0
Безалкогольные напитки #5,201910,119.4,17.0
Безалкогольные напитки #5,202025,119.4,14.0
Безалкогольные напитки #5,202101,119.4,0.0
Безалкогольные напитки #5,202047,119.4,0.0
Безалкогольные напитки #5,202007,96.4,13.0
Безалкогольные напитки #5,201848,119.4,0.0
Безалкогольные напитки #5,202004,119.4,0.0
Безалкогольные напитки #5,201915,119.4,10.0
Безалкогольные напитки #5,202048,103.1,0.0
Безалкогольные напитки #5,202035,119.4,3.0
Безалкогольные напитки #5,201940,98.9,0.0
Безалкогольные напитки #5,202052,102.4,0.0
Безалкогольные напитки #5,202019,119.4,25.0
Безалкогольные напитки #5,202011,119.4,7.0
Безалкогольные напитки #5,201934,119.4,
Безалкогольные напитки #5,202028,119.4,0.0
Безалкогольные напитки #5,201919,119.4,27.0
Безалкогольные напитки #5,201909,119.4,5.0
Безалкогольные напитки #5,202038,119.4,0.0
Безалкогольные напитки #5,201924,103.6,19.0
Безалкогольные напитки #5,202026,119.4,14.0
Безалкогольные напитки #5,201927,119.4,11.0
Безалкогольные напитки #5,201852,119.4,0.0
Безалкогольные напитки #5,201846,91.6,0.0
Безалкогольные напитки #5,201851,119.4,0.0
Безалкогольные напитки #5,201937,119.4,0.0
Безалкогольные напитки #5,202013,119.4,11.0
Безалкогольные напитки #5,201918,119.4,15.0
Безалкогольные напитки #5,202030,107.4,14.0
Безалкогольные напитки #5,201933,119.4,3.0
Безалкогольные напитки #5,201952,119.4,0.0
Безалкогольные напитки #5,202018,119.4,15.0
Безалкогольные напитки #5,201938,85.4,0.0
Безалкогольные напитки #5,201932,119.4,4.0
Безалкогольные напитки #5,202106,119.4,0.0
Безалкогольные напитки #5,202012,119.4,10.0
Безалкогольные напитки #5,202033,119.4,4.0
Безалкогольные напитки #5,201950,99.5,0.0
Безалкогольные напитки #5,202024,119.4,12.0
Безалкогольные напитки #5,201949,86.2,0.0
Безалкогольные напитки #5,201850,119.4,0.0
Безалкогольные напитки #5,201930,119.4,8.0
Безалкогольные напитки #5,202017,119.4,15.0
Безалкогольные напитки #5,202107,119.4,3.0
Безалкогольные напитки #5,201902,119.4,
Безалкогольные напитки #5,202103,119.4,0.0
Безалкогольные напитки #5,202016,104.9,21.0
Безалкогольные напитки #5,201945,91.4,
Безалкогольные напитки #5,202020,119.4,12.0
Безалкогольные напитки #5,202029,119.4,9.0
Безалкогольные напитки #5,201948,90.1,0.0
Безалкогольные напитки #5,202104,119.4,0.0
Безалкогольные напитки #5,201908,119.4,7.0
Безалкогольные напитки #5,202042,119.4,0.0
Безалкогольные напитки #5,202109,119.4,10.0
Безалкогольные напитки #5,202031,119.4,6.0
Безалкогольные напитки #5,201901,119.4,0.0
Безалкогольные напитки #5,202111,119.4,24.0
Безалкогольные напитки #5,201929,119.4,7.0
Безалкогольные напитки #5,202010,119.4,15.0
Безалкогольные напитки #5,202006,119.4,2.0
Безалкогольные напитки #5,202015,119.4,10.0
Безалкогольные напитки #5,201946,88.3,0.0
Безалкогольные напитки #5,201928,119.4,8.0
Безалкогольные напитки #5,202043,119.4,0.0
Безалкогольные напитки #5,202110,119.4,7.0
Безалкогольные напитки #5,201905,119.4,0.0
Безалкогольные напитки #5,202032,119.4,4.0
Безалкогольные напитки #5,201914,102.6,21.0
Безалкогольные напитки #5,201925,119.4,10.0
Безалкогольные напитки #5,201916,119.4,9.0
Безалкогольные напитки #5,202022,119.4,16.0
Безалкогольные напитки #5,202050,119.4,0.0
Безалкогольные напитки #5,202009,119.4,6.0
Безалкогольные напитки #5,202102,119.4,0.0
Безалкогольные напитки #5,201951,119.4,0.0
Безалкогольные напитки #5,202049,119.4,0.0
Безалкогольные напитки #5,202046,105.8,0.0
Безалкогольные напитки #5,202008,119.4,8.0
Безалкогольные напитки #5,202027,119.4,10.0
Безалкогольные напитки #5,201921,119.4,13.0
Безалкогольные напитки #5,201920,119.4,10.0
Безалкогольные напитки #5,201922,119.4,15.0
Безалкогольные напитки #5,201845,119.4,0.0
Безалкогольные напитки #5,202036,96.5,0.0
Безалкогольные напитки #5,202021,89.2,53.0
Безалкогольные напитки #5,201943,119.4,0.0
Безалкогольные напитки #5,202105,119.4,0.0
Безалкогольные напитки #5,201912,119.4,7.0
Безалкогольные напитки #5,201923,119.4,13.0
Безалкогольные напитки #5,202014,119.4,10.0
Безалкогольные напитки #5,201907,119.4,3.0
Безалкогольные напитки #5,201942,99.5,0.0
Безалкогольные напитки #5,201931,119.4,7.0
Безалкогольные напитки #5,202041,119.4,0.0
Безалкогольные напитки #5,202051,119.4,0.0
Безалкогольные напитки #5,202037,119.4,0.0
Безалкогольные напитки #5,201849,119.4,0.0
Безалкогольные напитки #5,202034,119.4,3.0
Безалкогольные напитки #5,202039,119.4,0.0
Безалкогольные напитки #5,202045,85.2,0.0
Безалкогольные напитки #5,202053,119.4,0.0
Безалкогольные напитки #5,202044,84.9,0.0
Безалкогольные напитки #6,201849,86.4,0.0
Безалкогольные напитки #6,202013,62.7,68.0
Безалкогольные напитки #6,202050,68.4,0.0
Безалкогольные напитки #6,201914,86.4,22.0
Безалкогольные напитки #6,201850,86.4,0.0
Безалкогольные напитки #6,202014,86.4,17.0
Безалкогольные напитки #6,202026,86.4,23.0
Безалкогольные напитки #6,201918,86.4,28.0
Безалкогольные напитки #6,202038,86.4,0.0
Безалкогольные напитки #6,201947,86.4,0.0
Безалкогольные напитки #6,201942,86.4,0.0
Безалкогольные напитки #6,202109,86.4,16.0
Безалкогольные напитки #6,201952,86.4,0.0
Безалкогольные напитки #6,201951,86.4,0.0
Безалкогольные напитки #6,201927,86.4,22.0
Безалкогольные напитки #6,202047,72.2,0.0
Безалкогольные напитки #6,201933,86.4,5.0
Безалкогольные напитки #6,201930,86.4,15.0
Безалкогольные напитки #6,202042,86.4,0.0
Безалкогольные напитки #6,201938,61.7,0.0
Безалкогольные напитки #6,202048,86.4,0.0
Безалкогольные напитки #6,202051,86.4,0.0
Безалкогольные напитки #6,202111,86.4,36.0
Безалкогольные напитки #6,201902,75.1,0.0
Безалкогольные напитки #6,201940,86.4,0.0
Безалкогольные напитки #6,201903,71.4,0.0
Безалкогольные напитки #6,202029,86.4,16.0
Безалкогольные напитки #6,202028,86.4,13.0
Безалкогольные напитки #6,202039,86.4,0.0
Безалкогольные напитки #6,201950,86.4,0.0
Безалкогольные напитки #6,201917,86.4,25.0
Безалкогольные напитки #6,201948,86.4,0.0
